,지번주소,동,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
4809,서울특별시 강서구 화곡동 340-42 (지상 1층),화곡동,시장식당,한식,186374.8406,447846.281,126.84374572185868,37.5327615931709
4810,서울특별시 강서구 방화동 612-61번지 (지상 1층) ,방화동,전라도막창집,한식,182968.7963,451337.1467,126.80512928059133,37.56415698710127
4811,서울특별시 강서구 화곡동 873-15번지 (지상 1층) ,화곡동,김가네까치산점,분식,186881.2052,447630.9294,126.84947848059717,37.53082866900401
4812,서울특별시 강서구 화곡동 1116-0 (지상 1층) ,화곡동,양송 곱창,한식,186822.7678,450167.036,126.84877162530486,37.55367787722278
4813,서울특별시 강서구 방화동 620-58번지 (지상 1층) ,방화동,단풍나무집,한식,183043.5161,451252.6896,126.80597695574214,37.56339742528038
4814,서울특별시 강서구 화곡동 109-33번지 (지상 2층) ,화곡동,제이미피자,패스트푸드,186067.3834,449002.6047,126.84024518876052,37.54317533460273
4815,서울특별시 강서구 등촌동 639-8번지 외 1필지 에이스에이존 (지상 1층) 103호,등촌동,진 참치,일식,187220.502,450708.9728,126.85326327479453,37.55856628488747
4816,서울특별시 강서구 등촌동 628-0번지 노블리움오피스텔 (지상 1층) 115호,등촌동,내고향왕만두,한식,187170.1106,450924.4155,126.85268917547445,37.56050669133536
4817,서울특별시 강서구 화곡동 1098-13번지 (지상 1층) ,화곡동,운암순대국,한식,186666.888,450177.9944,126.84700734356507,37.553774359065635
4818,서울특별시 강서구 화곡동 1103-2번지 (지상 1층) ,화곡동,토담집,한식,186589.9455,450073.0952,126.84613851472689,37.552828109283574
4819,서울특별시 강서구 화곡동 379-84번지 (지상 1층) ,화곡동,심마니네,한식,185634.2379,448380.0382,126.83535622991147,37.53755940489126
4820,서울특별시 강서구 염창동 240-21 외 1필지 우림블루나인비지니스센터 (지하 1층) B동 114~115호,염창동,밥집(Bob's house),한식,187952.56,450562.0202,126.86155089903973,37.5572521699858
4821,서울특별시 강서구 화곡동 1074-24번지 (지상 1층) ,화곡동,천원의행복,분식,185738.4479,448780.6656,126.83652749982707,37.541170638084836
4822,서울특별시 강서구 화곡동 997-24번지 (지상 1층) ,화곡동,알쌈산쭈꾸미,한식,186594.6647,450018.4687,126.8461929233692,37.552336000335345
4823,서울특별시 강서구 등촌동 514-50 (지상 1층) ,등촌동,카페더로스팅,경양식,187669.2553,449239.0461,126.85836694083658,37.545328564636925
4824,"서울특별시 강서구 등촌동 662-3 신송타워주상복합 (지상 1층) 7~8,15~22호",등촌동,김둘레순대국,한식,186483.5862,450699.0037,126.84492328555898,37.558465902472065
4825,서울특별시 강서구 화곡동 360-25번지 (지상 1층) ,화곡동,동해루,중국식,185545.1242,447780.4396,126.834359802764,37.53215568535196
4826,서울특별시 강서구 방화동 614-25번지 외1필지 (지상1층) ,방화동,코리안바베큐(공항점),통닭(치킨),183183.8652,451301.8996,126.8075643482101,37.563843380693534
4827,서울특별시 강서구 등촌동 647-7번지 (지상 1층) ,등촌동,오복집,한식,187892.7724,450134.7084,126.86088134014457,37.55340135616468
4828,서울특별시 강서구 마곡동 718 (지상 1층) ,마곡동,24시 기사식당,한식,183751.0222,451412.6137,126.81398122596087,37.564851110520074
4829,서울특별시 강서구 가양동 150-27번지 (지상 3층) ,가양동,동신원참치,일식,185936.2371,451834.3152,126.83870671390457,37.56868666725906
4830,서울특별시 강서구 내발산동 750-6번지 발산신성프라자 (지상 3층) 302호,내발산동,올리브,경양식,184566.593,450029.7185,126.82324155882986,37.5524055012663
4831,서울특별시 강서구 화곡동 877-13 (지상1층) ,화곡동,계동치킨,통닭(치킨),186750.8934,447616.0915,126.84800446900792,37.53069310991485
4832,서울특별시 강서구 화곡동 829-7번지 (지상 1층) ,화곡동,오케이치킨,통닭(치킨),187448.6002,447926.2191,126.85589262641318,37.53349713447458
4833,서울특별시 강서구 내발산동 708-9번지 (지상 1층) 103호,내발산동,갯마을,한식,185386.9419,449911.9803,126.83252758289453,37.551358119328455
4834,서울특별시 강서구 화곡동 1120-13번지 (지상 1층) ,화곡동,역전할머니맥주 강서구청점,호프/통닭,186859.9711,450042.5624,126.8491948917982,37.5525569192371
4835,서울특별시 강서구 화곡동 409-7번지 외 1필지 (지상 1층) ,화곡동,미가김밥,김밥(도시락),186422.0227,448248.199,126.84427206660376,37.53638353349554
4836,서울특별시 강서구 공항동 50-3번지 (지상 2층) ,공항동,물랑루즈,경양식,183105.0371,450991.4364,126.80667931257695,37.56104470964993
4837,서울특별시 강서구 염창동 240-21번지 우림블루나인  (지상2층) A동 312호,염창동,꺼먹,통닭(치킨),187952.56,450562.0202,126.86155089903973,37.5572521699858
4838,서울특별시 강서구 화곡동 84-2 (지상 1층) ,화곡동,후라이드참잘하는집,한식,186138.7295,449428.2495,126.841044422754,37.547011424717965
4839,서울특별시 강서구 화곡동 1085-0 (지상 1층) ,화곡동,놀러와호프,호프/통닭,185516.4367,448465.6429,126.83402167379381,37.53832884376985
4840,서울특별시 강서구 화곡동 1095-0번지 그랜드아이파크 (지하 1층) ,화곡동,열두달한정식,한식,186786.6225,450297.7027,126.84836020754518,37.55485464772444
4841,서울특별시 강서구 화곡동 24-486번지 지상2층 ,화곡동,삼겹파티,한식,186218.4638,449230.3825,126.84195042107862,37.54522986687124
4842,서울특별시 강서구 화곡동 934-23번지 (지상 1층) ,화곡동,띵까띵까,한식,185766.025,447316.215,126.83686803532729,37.52797651540952
4843,서울특별시 강서구 등촌동 509-2번지 1층 ,등촌동,구워더존치킨호프,통닭(치킨),187846.0352,449643.9531,126.86036058784055,37.54897909051805
4844,서울특별시 강서구 내발산동 665-17 천우네오젠아파트 (지상 1층) 상가동 105~106호,내발산동,꼬치피는밤 & 꼬치먹고맴맴,일식,185691.9068,450292.8195,126.83597128534616,37.554794234742346
4845,서울특별시 강서구 화곡동 362-167 (1층) ,화곡동,남도식당,한식,185849.4222,447946.1281,126.83779932686156,37.53365326049573
4846,서울특별시 강서구 공항동 34-7번지 (지상 1층) ,공항동,황금농장,한식,183377.72,450974.3333,126.80976593399241,37.56089559023484
4847,서울특별시 강서구 화곡동 895-7번지 (지상 1층) ,화곡동,국수맛조아,한식,186607.6694,447562.2035,126.84638509646531,37.530205506393855
4848,서울특별시 강서구 공항동 42-4 (지상1층) ,공항동,해피토스트,분식,183202.6284,450982.7777,126.80778405244993,37.56096848657032
4849,서울특별시 강서구 공항동 4-160번지 (지상 1층) ,공항동,논두렁오리농장,한식,183819.2629,451666.0697,126.81474800281455,37.56713591370746
4850,서울특별시 강서구 화곡동 1060-36 (지상 1층),화곡동,락감감자탕,한식,185967.4597,448944.4499,126.83911563397852,37.54264984464627
4851,서울특별시 강서구 염창동 282-19번지 현대아이파크아파트 (지상 1층) ,염창동,펀 비어킹,호프/통닭,188953.2931,449482.9953,126.87289301543672,37.547542884717565
4852,서울특별시 강서구 화곡동 98-60번지 (지상 2층) ,화곡동,본 호프,호프/통닭,186156.5562,448925.226,126.84125567507449,37.542479510188066
4853,서울특별시 강서구 공항동 1373-0번지 (지상 1층) D동 ,공항동,가마집,분식,182974.8501,450419.6846,126.8052191674578,37.55589090958187
4854,서울특별시 강서구 내발산동 665-20 서광빌딩 (지상 1층) 102~103호,내발산동,마포성산동소문난껍데기집,한식,185637.7105,450295.8566,126.83535788079784,37.55482075212952
4855,서울특별시 강서구 화곡동 343-11번지 (지상 1층) 102호,화곡동,치폭,한식,186265.9624,447753.5277,126.8425156404241,37.531924273020934
4856,서울특별시 강서구 화곡동 1120-10번지 (지상 1층) ,화곡동,용구비어,한식,186829.1113,449980.1422,126.84884678404865,37.55199407850962
4857,서울특별시 강서구 염창동 264-11 ,염창동,통돼지,한식,188724.3936,449750.5874,126.8702986510923,37.54995107366554
4858,서울특별시 강서구 등촌동 674-9번지 (지상 1층) 103호,등촌동,한가네숯불닭갈비,한식,185795.9473,450778.6341,126.83713927687839,37.559172974121324
4859,서울특별시 강서구 화곡동 360-26번지 (지상 1층) ,화곡동,용대리 황태촌,한식,185529.9206,447811.8792,126.83418717228061,37.53243871364983
4860,서울특별시 강서구 등촌동 73-1번지 아름다운아울렛 (지상 7층) 8호,등촌동,치로와친구들키즈레스토랑,경양식,186966.0362,451047.2873,126.85037727402128,37.56161087206833
4861,서울특별시 강서구 공항동 45-62번지 궁민빌딩 (지상 1 ~ 2층) ,공항동,춘향양꼬치,한식,183160.0663,451159.635,126.80729825939734,37.56256116327165
4862,서울특별시 강서구 방화동 323-8번지 외 1필지 이루미팰리스 (지상 1층) 101호,방화동,방화동 교동짬뽕,중국식,183655.5678,452806.2936,126.8128696332198,37.57740623531931
4863,서울특별시 강서구 방화동 563-46 (지상 1층),방화동,진지방 순대국 방화점,한식,183196.4187,452267.1945,126.80768423589656,37.572540755510545
4864,서울특별시 강서구 화곡동 1050-36번지 외 1필지 (지상 1층) 101호,화곡동,굴천지&초계국수,한식,185656.7452,448860.348,126.83560146749954,37.54188729492541
4865,서울특별시 강서구 방화동 615-40번지 (지상 1층) ,방화동,진마루,한식,182988.9128,451371.9631,126.80535615875738,37.56447105011015
4866,서울특별시 강서구 화곡동 1059-42번지 지상1층 ,화곡동,컵(CUP),경양식,186026.095,449095.5049,126.83977622046643,37.54401172725842
4867,서울특별시 강서구 화곡동 464-11 (지상 1층) ,화곡동,착한가격맛있는피치천국,통닭(치킨),187231.1882,448123.8788,126.85342939861899,37.53527503128694
4868,서울특별시 강서구 방화동 580-1번지 (지상 1층) ,방화동,옛날떡볶이,한식,183383.228,452034.0555,126.80980417649316,37.570443614318975
4869,서울특별시 강서구 화곡동 1072-10번지 (지상 1층) ,화곡동,다채우렁돌솥쌈밥,한식,185459.3698,448648.565,126.83337234716709,37.53997604993514
4870,서울특별시 강서구 가양동 129-4번지 (지상 1층) ,가양동,로얄식당,한식,185945.5598,451700.4204,126.83881481670292,37.56748043843658
4871,서울특별시 강서구 방화동 249-36 (지하 1층) ,방화동,프린스,경양식,183401.9639,451733.0146,126.81002309542912,37.5677316254001
4872,서울특별시 강서구 화곡동 1076-2번지 외1필지 (지상1층) 101호,화곡동,골목참치,일식,185901.432,448817.9668,126.838370952184,37.5415092346728
4873,서울특별시 강서구 공항동 650-5번지 (지상 1층) ,공항동,해가든식당,한식,183412.3462,450716.1203,126.81016369305422,37.55856975696736
4874,서울특별시 강서구 공항동 1364-6 (지상 1층) ,공항동,원조순대국,한식,183750.8644,450145.2004,126.81400761537651,37.55343190490402
4875,서울특별시 강서구 등촌동 721 동양하우징 101동 B102호,등촌동,동대문엽기떡볶이,분식,187826.5754,448184.1107,126.8601647013819,37.535825804745365
4876,서울특별시 강서구 방화동 886-0 외 6필지 김포공항 스카이파크 (지하 2층) ,방화동,한우리김포점,한식,182524.8238,451438.2509,126.800101763683,37.56505957682971
4877,서울특별시 강서구 가양동 115-10 (지상 1층),가양동,대승식당,한식,186067.6412,451626.4509,126.84019806988401,37.56681584673148
4878,서울특별시 강서구 화곡동 781-1번지 (지상2층) ,화곡동,보나쿡,경양식,187861.1019,447778.6247,126.86056207732466,37.532172870229566
4879,서울특별시 강서구 화곡동 353-55번지 (지상 1층) ,화곡동,옛날왕돈까스,한식,185998.3685,447836.8261,126.83948658356492,37.53267074300952
4880,서울특별시 강서구 화곡동 340-6번지 (지상 1층) ,화곡동,불만난곱창,한식,186439.0526,447977.2785,126.84446977268364,37.533942818435015
4881,서울특별시 강서구 마곡동 370-3 9호선마곡나루역사내 (지하 1층) ,마곡동,엠,까페,184857.6001,451626.0062,126.82650172804713,37.56679266706585
4882,서울특별시 강서구 내발산동 749-0 수명산파크1단지 (지상 1층) 상가2동 104호,내발산동,황금알식당,한식,184649.2454,449983.3984,126.82417788643143,37.55198954897296
4883,서울특별시 강서구 방화동 609-65번지 (지상 1층) ,방화동,피자앤코,패스트푸드,183276.1311,451348.2992,126.80860759343126,37.56426311891049
4884,서울특별시 강서구 마곡동 722-2번지 경원빌딩 (지하 1층) ,마곡동,발산식당,한식,185643.6052,450815.2403,126.83541438607367,37.55950042015031
