,경도,위도,clust
102,126.84886151175736,37.53506958603213,3
103,126.86048964507953,37.53309099563592,3
104,126.85258318108346,37.56004346650613,0
105,126.81294308023048,37.567227140235886,2
106,126.83099908834404,37.55945636857024,1
107,126.83365553296214,37.541912736858016,3
108,126.83365553296214,37.541912736858016,3
109,126.86105970155076,37.5523688602602,0
110,126.8261392662728,37.56040189687923,1
111,126.83617940048369,37.5290219092175,3
112,126.81572374879522,37.56826324155118,2
113,126.82920674929154,37.56012072932643,1
114,126.82983133979312,37.55956131894887,1
115,126.82189021939324,37.558921386222245,1
116,126.83305751867373,37.546227302488816,1
117,126.82565784957896,37.558149464596845,1
118,126.83472216769005,37.5545500332164,1
119,126.83236089169506,37.559832061931246,1
120,126.8344021358018,37.560184417513135,1
121,126.82637693159276,37.55827237630971,1
122,126.83329755036306,37.55425232801127,1
123,126.84289108484523,37.52955494502684,3
124,126.82570333011677,37.55905428598511,1
125,126.8496204618462,37.5620219855591,0
126,126.83453328460016,37.55695875377703,1
127,126.83543800088655,37.540560577311496,3
128,126.8566564034106,37.53273701248408,3
129,126.87052971588004,37.550790443033485,0
130,126.81294308023048,37.567227140235886,2
131,126.8261392662728,37.56040189687923,1
132,126.8579587652684,37.53294808414076,3
133,126.83470366944309,37.56057975418532,1
134,126.82457831351896,37.567879368900215,1
135,126.8261392662728,37.56040189687923,1
136,126.81039038836272,37.55857804277602,2
137,126.84548129545152,37.54271076216261,3
138,126.84179819862229,37.542950394381926,3
139,126.84460446654684,37.54281752543936,3
140,126.83745992003875,37.55996284044151,1
141,126.84822013548782,37.56188187769644,0
142,126.8591413982669,37.54887213177713,0
143,126.8262662705072,37.55987881530501,1
144,126.83421829029275,37.561888448743794,1
145,126.84527414206217,37.53049478630834,3
146,126.81014236800456,37.568878517273625,2
147,126.84415986232952,37.545959263622414,3
148,126.83738313668248,37.55736096834933,1
149,126.80406180040816,37.5723564396851,2
150,126.8242065020734,37.56893627904596,1
151,126.83358890292702,37.53679600022304,3
152,126.80886916576296,37.56088153679265,2
153,126.83711289147143,37.57129552742359,1
154,126.81044002117356,37.5723385031108,2
155,126.82411198602848,37.567318225026334,1
156,126.83182919294454,37.56042507244408,1
157,126.83305751867373,37.546227302488816,1
158,126.8339871562211,37.56024728721412,1
159,126.83709337312013,37.53727874074129,3
160,126.851107012208,37.56125292324014,0
161,126.82637693159276,37.55827237630971,1
162,126.81586574415029,37.552892527802896,2
163,126.85100866462246,37.554543129506506,0
164,126.8442375661739,37.54817468586919,0
165,126.82781142739088,37.5579383085519,1
166,126.83027970210529,37.5606207971049,1
167,126.83099908834404,37.55945636857024,1
168,126.8200409144906,37.55919062742421,1
169,126.83472216769005,37.5545500332164,1
170,126.84721787941434,37.54895280099195,0
171,126.85396529262069,37.559824495955255,0
172,126.85550857878768,37.53577555857006,3
173,126.80905067825964,37.56721181304632,2
174,126.83191651501365,37.53650079104365,3
175,126.8360840721512,37.55771419758885,1
176,126.84755022800012,37.54889480824289,0
177,126.82910602252326,37.55962637635124,1
178,126.8428408630634,37.55930120825885,1
179,126.8428408630634,37.55930120825885,1
180,126.8047938123715,37.572457333401296,2
181,126.80699513161758,37.55966959758209,2
182,126.82753678299238,37.559768872971546,1
183,126.8227472856988,37.56765788765775,1
184,126.8344021358018,37.560184417513135,1
185,126.81676409046128,37.54857683239988,1
186,126.83620924365886,37.56261234799825,1
187,126.84413870171008,37.55983849359672,0
188,126.83700127892294,37.54125083688799,3
189,126.84699780274164,37.55427908028482,0
190,126.82570333011677,37.55905428598511,1
191,126.82411198602848,37.567318225026334,1
192,126.83493031755503,37.5543243511185,1
193,126.82983133979312,37.55956131894887,1
194,126.83467864016971,37.54058792931658,3
195,126.8344021358018,37.560184417513135,1
196,126.82384335726891,37.56793541656248,1
